# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
384	stress	So bent, the more shall shame him his repulse.	1	4	1	1	1	3	1	1	1	4	
384	juncture	So bent, the more shall shame him his repulse.	2	5	2	2	2	2	3	2	1	5	
384	comment	So bent, the more shall shame him his repulse.											
385	syllables	Thus saying, from her Husbands hand her hand	Thus	sa	ying,	from	her	Hus	bands	hand	her	hand	
385	stress	Thus saying, from her Husbands hand her hand	1	4	1	1	1	3	1	4	1	3	
385	juncture	Thus saying, from her Husbands hand her hand	2	1	5	2	2	1	4	4	2	4	
385	comment	Thus saying, from her Husbands hand her hand											
386	syllables	Soft she withdrew, and like a Wood-Nymph light	Soft	she	with	drew,	and	like	a	Wood-	Nymph	light	
386	stress	Soft she withdrew, and like a Wood-Nymph light	3	1	1	4	1	1	1	3	2	4	
386	juncture	Soft she withdrew, and like a Wood-Nymph light	3	2	1	5	2	3	2	2	4	4	
386	comment	Soft she withdrew, and like a Wood-Nymph light											
387	syllables	Oread or Dryad, or of Delia's Traine,	O	read	or	Dry	ad,	or	of	De	lia's	Traine,	
387	stress	Oread or Dryad, or of Delia's Traine,	3	1	1	4	1	1	1	3	1	4	
387	juncture	Oread or Dryad, or of Delia's Traine,	1	4	2	1	5	2	2	1	4	5	
387	comment	Oread or Dryad, or of Delia's Traine,	Oread in Milton: postpausal hapax, OED says 1st syllable stressed										
388	syllables	Betook her to the Groves, but Delia's self	Be	took	her	to	the	Groves,	but	De	lia's	self	
388	stress	Betook her to the Groves, but Delia's self	1	3	1	1	1	4	1	3	1	4	
388	juncture	Betook her to the Groves, but Delia's self	1	2	3	2	2	5	2	1	4	4	
388	comment	Betook her to the Groves, but Delia's self											
389	syllables	In gate surpass'd and Goddess-like deport,	In	gate	sur	pass'd	and	God	dess-	like	de	port,	
389	stress	In gate surpass'd and Goddess-like deport,	1	3	1	4	1	3	1	2	1	4	
389	juncture	In gate surpass'd and Goddess-like deport,	2	4	1	4	2	1	2	3	1	5	
389	comment	In gate surpass'd and Goddess-like deport,											
390	syllables	Though not as shee with Bow and Quiver armd,	Though	not	as	shee	with	Bow	and	Qui	ver	armd,	
390	stress	Though not as shee with Bow and Quiver armd,	1	1	1	3	1	3	1	4	1	3	
390	juncture	Though not as shee with Bow and Quiver armd,	2	2	2	3	2	4	2	1	4	5	
390	comment	Though not as shee with Bow and Quiver armd,											
391	syllables	But with such Gardning Tools as Art yet rude,	But	with	such	Gard	ning	Tools	as	Art	yet	rude,	
391	stress	But with such Gardning Tools as Art yet rude,	1	1	1	4	1	3	1	3	1	4	
391	juncture	But with such Gardning Tools as Art yet rude,	2	2	2	1	3	4	2	3	2	5	
391	comment	But with such Gardning Tools as Art yet rude,											
392	syllables	Guiltless of fire had formd, or Angels brought.	Guilt	less	of	fire	had	formd,	or	An	gels	brought.	
392	stress	Guiltless of fire had formd, or Angels brought.	3	1	1	3	1	4	1	3	1	3	
392	juncture	Guiltless of fire had formd, or Angels brought.	1	3	2	4	2	5	2	1	4	5	
392	comment	Guiltless of fire had formd, or Angels brought.											
393	syllables	To Pales, or Pomona, thus adornd,	To	Pal	es,	or	Po	mo	na,	thus	a	dornd,	
393	stress	To Pales, or Pomona, thus adornd,	1	4	1	1	1	4	1	1	1	4	
393	juncture	To Pales, or Pomona, thus adornd,	2	1	5	2	1	1	5	2	1	5	
393	comment	To Pales, or Pomona, thus adornd,											
394	syllables	Likeliest she seemd, Pomona when she fled	Like	li est	she	seemd,	Po	mo	na	when	she	fled	
394	stress	Likeliest she seemd, Pomona when she fled	3	1	1	4	1	3	1	1	1	3	
394	juncture	Likeliest she seemd, Pomona when she fled	1	3	2	5	1	1	4	2	2	3	
394	comment	Likeliest she seemd, Pomona when she fled											
395	syllables	Vertumnus, or to Ceres in her Prime,	Ver	tum	nus,	or	to	Cer	es	in	her	Prime,	
395	stress	Vertumnus, or to Ceres in her Prime,	1	4	1	1	1	3	1	1	1	4	
395	juncture	Vertumnus, or to Ceres in her Prime,	1	1	5	2	2	1	3	2	2	5	
395	comment	Vertumnus, or to Ceres in her Prime,											
396	syllables	Yet Virgin of Proserpina from Jove.	Yet	Vir	gin	of	Pro	ser	pi	na	from	Jove.	
396	stress	Yet Virgin of Proserpina from Jove.	1	3	1	1	1	3	1	1	1	4	
396	juncture	Yet Virgin of Proserpina from Jove.	2	1	3	2	1	1	1	4	2	5	
396	comment	Yet Virgin of Proserpina from Jove.											
397	syllables	Her long with ardent look his Eye pursu'd	Her	long	with	ar	dent	look	his	Eye	pur	su'd	
397	stress	Her long with ardent look his Eye pursu'd	1	3	1	3	1	4	1	3	1	3	
397	juncture	Her long with ardent look his Eye pursu'd	2	4	2	1	3	4	2	4	1	3	
397	comment	Her long with ardent look his Eye pursu'd											
398	syllables	Delighted, but desiring more her stay.	De	ligh	ted,	but	de	si	ring	more	her	stay.	
398	stress	Delighted, but desiring more her stay.	1	4	1	1	1	3	1	1	1	4	
398	juncture	Delighted, but desiring more her stay.	1	1	5	2	1	1	3	4	2	5	
398	comment	Delighted, but desiring more her stay.											
399	syllables	Oft he to her his charge of quick returne	Oft	he	to	her	his	charge	of	quick	re	turne	
399	stress	Oft he to her his charge of quick returne	3	1	1	1	1	3	1	3	1	4	
399	juncture	Oft he to her his charge of quick returne	3	3	2	3	2	3	2	3	1	4	
399	comment	Oft he to her his charge of quick returne											
400	syllables	Repeated, shee to him as oft engag'd	Re	pea	ted,	shee	to	him	as	oft	en	gag'd	
400	stress	Repeated, shee to him as oft engag'd	1	4	1	3	1	2	1	3	1	3	
400	juncture	Repeated, shee to him as oft engag'd	1	1	5	3	2	3	2	3	1	3	
400	comment	Repeated, shee to him as oft engag'd											
401	syllables	To be returnd by Noon amid the Bowre,	To	be	re	turnd	by	Noon	a	mid	the	Bowre,	
401	stress	To be returnd by Noon amid the Bowre,	1	1	1	3	1	4	1	2	1	4	
401	juncture	To be returnd by Noon amid the Bowre,	2	2	1	3	2	4	1	2	2	5	
401	comment	To be returnd by Noon amid the Bowre,											
402	syllables	And all things in best order to invite	And	all	things	in	best	or	der	to	in	vite	
402	stress	And all things in best order to invite	1	3	2	1	3	4	1	1	1	3	
402	juncture	And all things in best order to invite	2	2	4	2	3	1	4	2	1	3	
402	comment	And all things in best order to invite	all things in Milton: >30 SW: 12 RR ;5 postpausal; acts as compound										
403	syllables	Noontide repast, or Afternoons repose.	Noon	tide	re	past,	or	Af	ter	noons	re	pose.	
403	stress	Noontide repast, or Afternoons repose.	3	2	1	4	1	2	1	3	1	4	
403	juncture	Noontide repast, or Afternoons repose.	2	3	1	5	2	1	2	4	1	5	
403	comment	Noontide repast, or Afternoons repose.											
404	syllables	O much deceav'd, much failing, hapless Eve,	O	much	de	ceav'd,	much	fai	ling,	ha	pless	Eve,	
404	stress	O much deceav'd, much failing, hapless Eve,	1	1	1	4	1	4	1	3	1	4	
404	juncture	O much deceav'd, much failing, hapless Eve,	2	2	1	5	2	1	5	1	3	5	
404	comment	O much deceav'd, much failing, hapless Eve,											
405	syllables	Of thy presum'd return! event perverse!	Of	thy	pre	sum'd	re	turn!	e	vent	per	verse!	
405	stress	Of thy presum'd return! event perverse!	1	1	1	3	1	4	1	3	1	4	
405	juncture	Of thy presum'd return! event perverse!	2	2	1	3	1	5	1	3	1	5	
405	comment	Of thy presum'd return! event perverse!											
406	syllables	Thou never from that houre in Paradise	Thou	ne	ver	from	that	houre	in	Pa	ra	dise	
406	stress	Thou never from that houre in Paradise	1	3	1	1	1	3	1	4	1	1	
406	juncture	Thou never from that houre in Paradise	2	1	3	2	2	4	2	1	1	4	
406	comment	Thou never from that houre in Paradise											
407	syllables	Foundst either sweet repast, or sound repose;	Foundst	ei	ther	sweet	re	past,	or	sound	re	pose;	
407	stress	Foundst either sweet repast, or sound repose;	3	2	1	3	1	4	1	3	1	4	
407	juncture	Foundst either sweet repast, or sound repose;	3	1	3	3	1	5	2	3	1	5	
407	comment	Foundst either sweet repast, or sound repose;											
408	syllables	Such ambush hid among sweet Flours and Shades	Such	am	bush	hid	a	mong	sweet	Flours	and	Shades	
408	stress	Such ambush hid among sweet Flours and Shades	1	3	1	3	1	2	3	4	1	4	
408	juncture	Such ambush hid among sweet Flours and Shades	2	1	4	3	1	2	3	4	2	4	
408	comment	Such ambush hid among sweet Flours and Shades											
409	syllables	Waited with hellish rancour imminent	Wai	ted	with	hel	lish	ran	cour	im	mi	nent	
409	stress	Waited with hellish rancour imminent	3	1	1	3	1	3	1	4	1	1	
409	juncture	Waited with hellish rancour imminent	1	3	2	1	3	1	3	1	1	4	
409	comment	Waited with hellish rancour imminent											
410	syllables	To intercept thy way, or send thee back	To	in	ter	cept	thy	way,	or	send	thee	back	
410	stress	To intercept thy way, or send thee back	1	2	1	3	1	4	1	3	1	4	
410	juncture	To intercept thy way, or send thee back	2	1	1	3	2	5	2	2	3	4	
410	comment	To intercept thy way, or send thee back											
411	syllables	Despoild of Innocence, of Faith, of Bliss.	Des	poild	of	In	no	cence,	of	Faith,	of	Bliss.	
411	stress	Despoild of Innocence, of Faith, of Bliss.	1	3	1	4	1	1	1	4	1	4	
411	juncture	Despoild of Innocence, of Faith, of Bliss.	1	3	2	1	1	5	2	5	2	5	
411	comment	Despoild of Innocence, of Faith, of Bliss.											
412	syllables	For now, and since first break of dawne the Fiend,	For	now,	and	since	first	break	of	dawne	the	Fiend,	
412	stress	For now, and since first break of dawne the Fiend,	1	4	1	1	3	4	1	4	1	4	
412	juncture	For now, and since first break of dawne the Fiend,	2	5	2	2	3	3	2	4	2	5	
412	comment	For now, and since first break of dawne the Fiend,											
413	syllables	Meer Serpent in appearance, forth was come,	Meer	Ser	pent	in	ap	pea	rance,	forth	was	come,	
413	stress	Meer Serpent in appearance, forth was come,	3	3	1	1	1	4	1	3	1	4	
413	juncture	Meer Serpent in appearance, forth was come,	3	1	4	2	1	1	5	3	2	5	
413	comment	Meer Serpent in appearance, forth was come,											
414	syllables	And on his Quest, where likeliest he might finde	And	on	his	Quest,	where	like	li est	he	might	finde	
414	stress	And on his Quest, where likeliest he might finde	1	1	1	4	1	3	1	1	1	3	
414	juncture	And on his Quest, where likeliest he might finde	2	2	2	5	2	1	3	2	2	3	
414	comment	And on his Quest, where likeliest he might finde											
415	syllables	The onely two of Mankinde, but in them	The	one	ly	two	of	Man	kinde,	but	in	them	
415	stress	The onely two of Mankinde, but in them	1	3	1	3	1	4	2	1	1	1	
415	juncture	The onely two of Mankinde, but in them	2	1	3	3	2	2	5	2	2	4	
415	comment	The onely two of Mankinde, but in them	mankind in Milton: 28 WS; 11 SW (3 of them after postpausal Of); 4 postpausal; OED says either ok										
416	syllables	The whole included Race, his purposd prey.	The	whole	in	clu	ded	Race,	his	pur	posd	prey.	
416	stress	The whole included Race, his purposd prey.	1	3	1	3	1	4	1	3	1	4	
416	juncture	The whole included Race, his purposd prey.	2	3	1	1	3	5	2	1	3	5	
416	comment	The whole included Race, his purposd prey.											
417	syllables	In Bowre and Field he sought, where any tuft	In	Bowre	and	Field	he	sought,	where	a	ny	tuft	
417	stress	In Bowre and Field he sought, where any tuft	1	3	1	3	1	4	1	3	1	3	
417	juncture	In Bowre and Field he sought, where any tuft	2	4	2	4	2	5	2	1	3	3	
417	comment	In Bowre and Field he sought, where any tuft											
418	syllables	Of Grove or Garden-Plot more pleasant lay,	Of	Grove	or	Gar	den-	Plot	more	plea	sant	lay,	
418	stress	Of Grove or Garden-Plot more pleasant lay,	1	3	1	3	1	4	1	3	1	4	
418	juncture	Of Grove or Garden-Plot more pleasant lay,	2	4	2	1	2	4	2	1	4	5	
418	comment	Of Grove or Garden-Plot more pleasant lay,											
419	syllables	Thir tendance or Plantation for delight,	Thir	ten	dance	or	Plan	ta	tion	for	de	light,	
419	stress	Thir tendance or Plantation for delight,	1	3	1	1	1	3	1	1	1	4	
419	juncture	Thir tendance or Plantation for delight,	2	1	4	2	1	1	4	2	1	5	
419	comment	Thir tendance or Plantation for delight,											
420	syllables	By Fountain or by shadie Rivulet	By	Foun	tain	or	by	sha	die	Ri	vu	let	
420	stress	By Fountain or by shadie Rivulet	1	3	1	1	1	3	1	4	1	1	
420	juncture	By Fountain or by shadie Rivulet	2	1	4	2	2	1	3	1	1	4	
420	comment	By Fountain or by shadie Rivulet											
421	syllables	He sought them both, but wish'd his hap might find	He	sought	them	both,	but	wish'd	his	hap	might	find	
421	stress	He sought them both, but wish'd his hap might find	1	3	1	4	1	3	1	3	1	3	
421	juncture	He sought them both, but wish'd his hap might find	2	2	3	5	2	3	2	4	2	3	
421	comment	He sought them both, but wish'd his hap might find											
422	syllables	Eve separate, he wish'd, but not with hope	Eve	se	pa	rate,	he	wish'd,	but	not	with	hope	
422	stress	Eve separate, he wish'd, but not with hope	3	4	1	1	1	4	1	1	1	3	
422	juncture	Eve separate, he wish'd, but not with hope	3	1	1	5	2	5	2	2	2	3	
422	comment	Eve separate, he wish'd, but not with hope											
423	syllables	Of what so seldom chanc'd, when to his wish,	Of	what	so	sel	dom	chanc'd,	when	to	his	wish,	
423	stress	Of what so seldom chanc'd, when to his wish,	1	1	1	3	1	4	1	1	1	4	
423	juncture	Of what so seldom chanc'd, when to his wish,	2	2	2	1	4	5	2	2	2	5	
423	comment	Of what so seldom chanc'd, when to his wish,											
424	syllables	Beyond his hope, Eve separate he spies,	Be	yond	his	hope,	Eve	se	pa	rate	he	spies,	
424	stress	Beyond his hope, Eve separate he spies,	1	2	1	4	3	4	1	1	1	4	
424	juncture	Beyond his hope, Eve separate he spies,	1	2	2	5	3	1	1	4	2	5	
424	comment	Beyond his hope, Eve separate he spies,											
425	syllables	Veild in a Cloud of Fragrance, where she stood,	Veild	in	a	Cloud	of	Fra	grance,	where	she	stood,	
425	stress	Veild in a Cloud of Fragrance, where she stood,	3	1	1	3	1	4	1	1	1	4	
425	juncture	Veild in a Cloud of Fragrance, where she stood,	3	2	2	3	2	1	5	2	2	5	
425	comment	Veild in a Cloud of Fragrance, where she stood,											
426	syllables	Half spi'd, so thick the Roses bushing round	Half	spi'd,	so	thick	the	Ros	es	bus	hing	round	
426	stress	Half spi'd, so thick the Roses bushing round	3	4	1	3	1	3	1	3	1	3	
426	juncture	Half spi'd, so thick the Roses bushing round	3	5	2	4	2	1	4	1	3	3	
426	comment	Half spi'd, so thick the Roses bushing round											
427	syllables	About her glowd, oft stooping to support	A	bout	her	glowd,	oft	stoo	ping	to	sup	port	
427	stress	About her glowd, oft stooping to support	1	2	1	4	3	4	1	1	1	3	
427	juncture	About her glowd, oft stooping to support	1	2	4	5	3	1	3	2	1	3	
427	comment	About her glowd, oft stooping to support											
428	syllables	Each Flour of slender stalk, whose head though gay	Each	Flour	of	slen	der	stalk,	whose	head	though	gay	
428	stress	Each Flour of slender stalk, whose head though gay	1	3	1	3	1	4	1	3	1	3	
428	juncture	Each Flour of slender stalk, whose head though gay	2	3	2	1	3	5	2	4	2	3	
428	comment	Each Flour of slender stalk, whose head though gay											
429	syllables	Carnation, Purple, Azure, or spect with Gold,	Car	na	tion,	Pur	ple, 	A	zure,or	spect	with	Gold,	
429	stress	Carnation, Purple, Azure, or spect with Gold,	1	4	1	3	1	4	1	3	1	4	
429	juncture	Carnation, Purple, Azure, or spect with Gold,	1	1	5	1	5	1	2	3	2	5	
429	comment	Carnation, Purple, Azure, or spect with Gold,	azure in Milton: 1 clear SW, 2 that could go either way.  OED says SW.										
430	syllables	Hung drooping unsustaind, them she upstaies	Hung	droo	ping	un	sus	taind,	them	she	ups	taies	
430	stress	Hung drooping unsustaind, them she upstaies	3	4	1	2	1	4	2	1	1	3	
430	juncture	Hung drooping unsustaind, them she upstaies	3	1	3	1	1	5	3	2	1	3	
430	comment	Hung drooping unsustaind, them she upstaies											
431	syllables	Gently with Mirtle band, mindless the while,	Gent	ly	with	Mir	tle	band,	mind	less	the	while,	
431	stress	Gently with Mirtle band, mindless the while,	3	1	1	3	1	4	3	1	1	4	
431	juncture	Gently with Mirtle band, mindless the while,	1	4	2	1	3	5	1	4	2	5	
431	comment	Gently with Mirtle band, mindless the while,											
432	syllables	Her self, though fairest unsupported Flour,	Her	self,	though	fai	rest	un	sup	por	ted	Flour,	
432	stress	Her self, though fairest unsupported Flour,	1	4	1	3	1	2	1	3	1	4	
432	juncture	Her self, though fairest unsupported Flour,	2	5	2	1	3	1	1	1	3	5	
432	comment	Her self, though fairest unsupported Flour,											
433	syllables	From her best prop so farr, and storm so nigh.	From	her	best	prop	so	farr,	and	storm	so	nigh.	
433	stress	From her best prop so farr, and storm so nigh.	1	1	3	4	1	4	1	3	1	4	
433	juncture	From her best prop so farr, and storm so nigh.	2	2	3	4	2	5	2	4	2	5	
433	comment	From her best prop so farr, and storm so nigh.											
434	syllables	Neerer he drew, and many a walk travers'd	Nee	rer	he	drew,	and	ma	ny a	walk	tra	vers'd	
434	stress	Neerer he drew, and many a walk travers'd	3	1	1	4	1	2	1	3	1	3	
434	juncture	Neerer he drew, and many a walk travers'd	1	4	2	5	2	1	2	4	1	4	
434	comment	Neerer he drew, and many a walk travers'd											
435	syllables	Of stateliest Covert, Cedar, Pine, or Palme,	Of	state	li est	Co	vert,	Ce	dar,	Pine,	or	Palme,	
435	stress	Of stateliest Covert, Cedar, Pine, or Palme,	1	3	1	4	1	4	1	4	1	4	
435	juncture	Of stateliest Covert, Cedar, Pine, or Palme,	2	1	3	1	5	1	5	5	2	5	
435	comment	Of stateliest Covert, Cedar, Pine, or Palme,											
436	syllables	Then voluble and bold, now hid, now seen	Then	vo	lu	ble	and	bold,	now	hid,	now	seen	
436	stress	Then voluble and bold, now hid, now seen	1	3	1	1	1	4	3	4	2	3	
436	juncture	Then voluble and bold, now hid, now seen	2	1	1	4	2	5	3	5	3	3	
436	comment	Then voluble and bold, now hid, now seen											
437	syllables	Among thick-wov'n Arborets and Flours	A	mong	thick-	wo	v'n	Ar	bo	rets	and	Flours	
437	stress	Among thick-wov'n Arborets and Flours	1	2	3	2	1	3	1	1	1	4	
437	juncture	Among thick-wov'n Arborets and Flours	1	2	2	1	3	1	1	4	2	4	
437	comment	Among thick-wov'n Arborets and Flours	arborets in Milton: hapax, OED says stress is on first syllable										
438	syllables	Imborderd on each Bank, the hand of Eve:	Im	bor	derd	on	each	Bank,	the	hand	of	Eve:	
438	stress	Imborderd on each Bank, the hand of Eve:	1	3	1	1	1	4	1	3	1	4	
438	juncture	Imborderd on each Bank, the hand of Eve:	1	1	3	2	2	5	2	3	2	5	
438	comment	Imborderd on each Bank, the hand of Eve:											
439	syllables	Spot more delicious then those Gardens feign'd	Spot	more	de	li	cious	then	those	Gar	dens	feign'd	
439	stress	Spot more delicious then those Gardens feign'd	3	1	1	3	1	1	1	3	1	4	
439	juncture	Spot more delicious then those Gardens feign'd	3	2	1	1	3	2	2	1	4	4	
439	comment	Spot more delicious then those Gardens feign'd											
440	syllables	Or of reviv'd Adonis, or renownd	Or	of	re	viv'd	A	do	nis,	or	re	nownd	
440	stress	Or of reviv'd Adonis, or renownd	1	1	1	3	1	4	1	1	1	3	
440	juncture	Or of reviv'd Adonis, or renownd	2	2	1	3	1	1	5	2	1	3	
440	comment	Or of reviv'd Adonis, or renownd											
441	syllables	Alcinous, host of old Laertes Son,	Al	ci	nous,	host	of	old	La	er	tes	Son,	
441	stress	Alcinous, host of old Laertes Son,	1	4	1	3	1	3	1	4	1	3	
441	juncture	Alcinous, host of old Laertes Son,	1	1	5	3	2	3	1	1	4	5	
441	comment	Alcinous, host of old Laertes Son,											
442	syllables	Or that, not Mystic, where the Sapient King	Or	that,	not	Mys	tic,	where	the	Sa	pient	King	
442	stress	Or that, not Mystic, where the Sapient King	1	4	1	4	1	1	1	3	1	4	
442	juncture	Or that, not Mystic, where the Sapient King	2	5	2	1	5	2	2	1	3	4	
442	comment	Or that, not Mystic, where the Sapient King											
443	syllables	Held dalliance with his fair Egyptian Spouse.	Held	dal	liance	with	his	fair	E	gyp	tian	Spouse.	
443	stress	Held dalliance with his fair Egyptian Spouse.	3	4	1	1	1	3	1	3	1	4	
443	juncture	Held dalliance with his fair Egyptian Spouse.	3	1	4	2	2	3	1	1	3	5	
443	comment	Held dalliance with his fair Egyptian Spouse.											
444	syllables	Much hee the Place admir'd, the Person more.	Much	hee	the	Place	ad	mir'd,	the	Per	son	more.	
444	stress	Much hee the Place admir'd, the Person more.	3	1	1	3	1	4	1	3	1	4	
444	juncture	Much hee the Place admir'd, the Person more.	3	2	2	4	1	5	2	1	4	5	
444	comment	Much hee the Place admir'd, the Person more.											
445	syllables	As one who long in populous City pent,	As	one	who	long	in	po	pu lous	Ci	ty	pent,	
445	stress	As one who long in populous City pent,	1	1	1	3	1	3	1	4	1	4	
445	juncture	As one who long in populous City pent,	2	3	2	3	2	1	3	1	4	5	
445	comment	As one who long in populous City pent,											
446	syllables	Where Houses thick and Sewers annoy the Aire,	Where	Hous	es	thick	and	Se wers	an	noy	the	Aire,	
446	stress	Where Houses thick and Sewers annoy the Aire,	1	3	1	4	1	3	1	3	1	4	
446	juncture	Where Houses thick and Sewers annoy the Aire,	2	1	3	4	2	4	1	3	2	5	
446	comment	Where Houses thick and Sewers annoy the Aire,											
447	syllables	Forth issuing on a Summers Morn to breathe	Forth	is	su ing	on	a	Sum	mers	Morn	to	breathe	
447	stress	Forth issuing on a Summers Morn to breathe	3	3	1	1	1	3	1	4	1	3	
447	juncture	Forth issuing on a Summers Morn to breathe	3	1	4	2	2	1	3	4	2	3	
447	comment	Forth issuing on a Summers Morn to breathe											
448	syllables	Among the pleasant Villages and Farmes	A	mong	the	plea	sant	Vil	la	ges	and	Farmes	
448	stress	Among the pleasant Villages and Farmes	1	2	1	3	1	4	1	1	1	4	
448	juncture	Among the pleasant Villages and Farmes	1	2	2	1	3	1	1	4	2	3	
448	comment	Among the pleasant Villages and Farmes											
449	syllables	Adjoynd, from each thing met conceaves delight,	Ad	joynd,	from	each	thing	met	con	ceaves	de	light,	
449	stress	Adjoynd, from each thing met conceaves delight,	1	4	1	3	2	4	1	3	1	4	
449	juncture	Adjoynd, from each thing met conceaves delight,	1	5	2	2	3	4	1	3	1	5	
449	comment	Adjoynd, from each thing met conceaves delight,	RR										
450	syllables	The smell of Grain, or tedded Grass, or Kine,	The	smell	of	Grain,	or	ted	ded	Grass,	or	Kine,	
450	stress	The smell of Grain, or tedded Grass, or Kine,	1	3	1	4	1	3	1	4	1	4	
450	juncture	The smell of Grain, or tedded Grass, or Kine,	2	3	2	5	2	1	3	5	2	5	
450	comment	The smell of Grain, or tedded Grass, or Kine,											
451	syllables	Or Dairie, each rural sight, each rural sound;	Or	Dai	rie, each	ru	ral	sight,	each	ru	ral	sound;	
451	stress	Or Dairie, each rural sight, each rural sound;	1	4	1	3	1	4	1	3	1	4	
451	juncture	Or Dairie, each rural sight, each rural sound;	2	1	2	1	3	5	2	1	3	5	
451	comment	Or Dairie, each rural sight, each rural sound;											
452	syllables	If chance with Nymphlike step fair Virgin pass,	If	chance	with	Nymph	like	step	fair	Vir	gin	pass,	
452	stress	If chance with Nymphlike step fair Virgin pass,	1	3	1	3	2	4	3	4	1	3	
452	juncture	If chance with Nymphlike step fair Virgin pass,	2	4	2	2	3	4	3	1	4	5	
452	comment	If chance with Nymphlike step fair Virgin pass,											
453	syllables	What pleasing seemd, for her now pleases more,	What	plea	sing	seemd,	for	her	now	pleas	es	more,	
453	stress	What pleasing seemd, for her now pleases more,	1	4	1	3	1	1	3	3	1	4	
453	juncture	What pleasing seemd, for her now pleases more,	2	1	4	5	2	3	3	1	3	5	
453	comment	What pleasing seemd, for her now pleases more,											
454	syllables	She most, and in her look summs all Delight.	She	most,	and	in	her	look	summs	all	De	light.	
454	stress	She most, and in her look summs all Delight.	1	4	1	1	1	3	3	2	1	4	
454	juncture	She most, and in her look summs all Delight.	2	5	2	2	2	4	3	2	1	5	
454	comment	She most, and in her look summs all Delight.											
455	syllables	Such Pleasure took the Serpent to behold	Such	Plea	sure	took	the	Ser	pent	to	be	hold	
455	stress	Such Pleasure took the Serpent to behold	1	3	1	3	1	3	1	1	1	3	
455	juncture	Such Pleasure took the Serpent to behold	2	1	4	3	2	1	4	2	1	3	
455	comment	Such Pleasure took the Serpent to behold											
456	syllables	This Flourie Plat, the sweet recess of Eve	This	Flou	rie	Plat,	the	sweet	re	cess	of	Eve	
456	stress	This Flourie Plat, the sweet recess of Eve	1	3	1	4	1	3	1	3	1	4	
456	juncture	This Flourie Plat, the sweet recess of Eve	2	1	3	5	2	3	1	3	2	4	
456	comment	This Flourie Plat, the sweet recess of Eve											
457	syllables	Thus earlie, thus alone; her Heav'nly forme	Thus	ear	lie,	thus	a	lone;	her	Heav'n	ly	forme	
457	stress	Thus earlie, thus alone; her Heav'nly forme	1	4	1	1	1	4	1	3	1	3	
457	juncture	Thus earlie, thus alone; her Heav'nly forme	2	1	5	2	1	5	2	1	3	4	
457	comment	Thus earlie, thus alone; her Heav'nly forme											
458	syllables	Angelic, but more soft, and Feminine,	An	ge	lic,	but	more	soft,	and	Fe	mi	nine,	
458	stress	Angelic, but more soft, and Feminine,	1	4	1	1	1	4	1	4	1	1	
458	juncture	Angelic, but more soft, and Feminine,	1	1	5	2	2	5	2	1	1	5	
458	comment	Angelic, but more soft, and Feminine,											
459	syllables	Her graceful Innocence, her every Aire	Her	grace	ful	In	no	cence,	her	eve	ry	Aire	
459	stress	Her graceful Innocence, her every Aire	1	3	1	4	1	1	1	2	1	3	
459	juncture	Her graceful Innocence, her every Aire	2	1	3	1	1	5	2	1	2	3	
459	comment	Her graceful Innocence, her every Aire											
460	syllables	Of gesture or lest action overawd	Of	ges	ture	or	lest	ac	tion	o	ver	awd	
460	stress	Of gesture or lest action overawd	1	4	1	1	1	3	1	2	1	4	
460	juncture	Of gesture or lest action overawd	2	1	4	2	2	1	4	1	1	3	
460	comment	Of gesture or lest action overawd											
461	syllables	His Malice, and with rapine sweet bereav'd	His	Ma	lice,	and	with	ra	pine	sweet	be	reav'd	
461	stress	His Malice, and with rapine sweet bereav'd	1	4	1	1	1	3	1	3	1	3	
461	juncture	His Malice, and with rapine sweet bereav'd	2	1	5	2	2	1	3	4	1	3	
461	comment	His Malice, and with rapine sweet bereav'd											
462	syllables	His fierceness of the fierce intent it brought:	His	fierce	ness	of	the	fierce	in	tent	it	brought:	
462	stress	His fierceness of the fierce intent it brought:	1	3	1	1	1	3	1	3	1	4	
462	juncture	His fierceness of the fierce intent it brought:	2	1	4	2	2	3	1	4	2	5	
462	comment	His fierceness of the fierce intent it brought:											
463	syllables	That space the Evil one abstracted stood	That	space	the	E	vil	one	abs	trac	ted	stood	
463	stress	That space the Evil one abstracted stood	1	3	1	3	1	1	1	3	1	3	
463	juncture	That space the Evil one abstracted stood	2	4	2	1	3	4	1	1	4	4	
463	comment	That space the Evil one abstracted stood	evil in Milton: >25 WS in full position; >10 in final position; 8 that aren't obvious, most can undergo paraphonology with neighboring syllable.  BH I assume you mean WS!										
464	syllables	From his own evil, and for the time remaind	From	his	own	e	vil, and	for	the	time	re	maind	
464	stress	From his own evil, and for the time remaind	1	1	3	4	1	1	1	3	1	3	
464	juncture	From his own evil, and for the time remaind	2	2	3	1	2	2	2	4	1	3	
464	comment	From his own evil, and for the time remaind	evil in Milton: >25 WS in full position; >10 in final position; 8 that aren't obvious, most can undergo paraphonology with neighboring syllable.  BH I assume you mean WS!										
465	syllables	Stupidly good, of enmitie disarm'd,	Stu	pid	ly	good,	of	en	mi	tie	di	sarm'd,	
465	stress	Stupidly good, of enmitie disarm'd,	3	1	1	4	1	3	1	1	1	4	
