# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: shakespeare
# title: sonnets
# coder: bruce hayes
1	syllables	From fairest creatures we desire increase,	From	fai	rest	crea	tures	we	de	sire	in	crease,	
304	stress	As I, not for myself, but for thee will;	1	4	2	1	1	4	1	1	4	3	
304	juncture	As I, not for myself, but for thee will;	2	5	2	2	2	5	2	2	4	5	
304	comment	As I, not for myself, but for thee will;	contrastive stress assumed										
305	syllables	Bearing thy heart, which I will keep so chary	Bea	ring	thy	heart,	which	I	will	keep	so	cha	ry
305	stress	Bearing thy heart, which I will keep so chary	3	1	1	4	1	1	1	3	1	4	1
305	juncture	Bearing thy heart, which I will keep so chary	1	3	2	5	2	2	2	3	2	1	3
305	comment	Bearing thy heart, which I will keep so chary											
306	syllables	As tender nurse her babe from faring ill.	As	ten	der	nurse	her	babe	from	fa	ring	ill.	
306	stress	As tender nurse her babe from faring ill.	1	3	1	4	1	3	1	3	1	4	
306	juncture	As tender nurse her babe from faring ill.	2	1	3	4	2	4	2	1	3	5	
306	comment	As tender nurse her babe from faring ill.											
307	syllables	Presume not on th;heart when mine is slain,	Pre	sume	not	on	th-	heart;	when	mine	is	slain,	
307	stress	Presume not on th;heart when mine is slain,	1	3	1	1	1	4	1	1	1	4	
307	juncture	Presume not on th;heart when mine is slain,	1	2	3	2	2	5	2	4	2	5	
307	comment	Presume not on th;heart when mine is slain,											
308	syllables	Thou gav'st me thine not to give back again.	Thou	gav'st	me	thine	not	to	give	back	a	gain.	
308	stress	Thou gav'st me thine not to give back again.	1	3	1	4	1	1	3	4	1	4	
308	juncture	Thou gav'st me thine not to give back again.	2	2	3	4	2	2	3	4	1	5	
308	comment	Thou gav'st me thine not to give back again.											
309	syllables	As an unperfect actor on the stage,	As	an	un	per	fect	ac	tor	on	the	stage,	
309	stress	As an unperfect actor on the stage,	1	1	1	3	1	4	1	1	1	4	
309	juncture	As an unperfect actor on the stage,	2	2	1	1	3	1	4	2	2	5	
309	comment	As an unperfect actor on the stage,	poem initial										
310	syllables	Who with his fear is put beside his part,	Who	with	his	fear	is	put	be	side	his	part,	
310	stress	Who with his fear is put beside his part,	1	1	1	3	1	3	1	2	1	4	
310	juncture	Who with his fear is put beside his part,	2	2	2	4	2	3	1	2	2	5	
310	comment	Who with his fear is put beside his part,											
311	syllables	Or some fierce thing replete with too much rage,	Or	some	fierce	thing	re	plete	with	too	much	rage,	
311	stress	Or some fierce thing replete with too much rage,	1	1	3	4	1	3	1	2	1	4	
311	juncture	Or some fierce thing replete with too much rage,	2	2	3	4	1	3	2	2	2	5	
311	comment	Or some fierce thing replete with too much rage,											
312	syllables	Whose strength's abundance weakens his own heart;	Whose	strength's	a	bun	dance	wea	kens	his	own	heart;	
312	stress	Whose strength's abundance weakens his own heart;	1	3	1	4	1	3	1	1	2	4	
312	juncture	Whose strength's abundance weakens his own heart;	2	4	1	1	4	1	3	2	2	5	
312	comment	Whose strength's abundance weakens his own heart;											
313	syllables	So I, for fear of trust, forget to say	So	I,	for	fear	of	trust,	for	get	to	say	
313	stress	So I, for fear of trust, forget to say	1	4	1	3	1	4	1	3	1	4	
313	juncture	So I, for fear of trust, forget to say	2	5	2	3	2	5	1	3	2	3	
313	comment	So I, for fear of trust, forget to say											
314	syllables	The perfect ceremony of love's rite,	The	per	fect	ce	re	mo	ny	of	love's	rite,	
314	stress	The perfect ceremony of love's rite,	1	3	1	4	1	2	1	1	3	4	
314	juncture	The perfect ceremony of love's rite,	2	1	3	1	1	1	3	2	4	5	
314	comment	The perfect ceremony of love's rite,											
315	syllables	And in mine own love's strength seem to decay,	And	in	mine	own	love's	strength	seem	to	de	cay,	
315	stress	And in mine own love's strength seem to decay,	1	1	1	1	3	4	3	1	1	4	
315	juncture	And in mine own love's strength seem to decay,	2	2	2	2	4	4	3	2	1	5	
315	comment	And in mine own love's strength seem to decay,											
316	syllables	O'ercharg'd with burthen of mine own love's might.	O'er-	charg'd	with	bur	then	of	mine	own	love's	might.	
316	stress	O'ercharg'd with burthen of mine own love's might.	1	3	1	3	1	1	1	1	3	4	
316	juncture	O'ercharg'd with burthen of mine own love's might.	2	3	2	1	3	2	2	2	4	5	
316	comment	O'ercharg'd with burthen of mine own love's might.											
317	syllables	O! let my looks be then the eloquence	O!	let	my	looks	be	then	the	e	lo	quence	
317	stress	O! let my looks be then the eloquence	1	3	1	3	1	2	1	4	1	1	
317	juncture	O! let my looks be then the eloquence	2	3	2	4	2	2	2	1	1	4	
317	comment	O! let my looks be then the eloquence											
318	syllables	And dumb presagers of my speaking breast,	And	dumb	pre	sa	gers	of	my	spea	king	breast,	
318	stress	And dumb presagers of my speaking breast,	1	3	1	3	1	1	1	3	1	4	
318	juncture	And dumb presagers of my speaking breast,	2	3	1	1	3	2	2	1	3	5	
318	comment	And dumb presagers of my speaking breast,	OED mentions pre'sager as an option for Am.E.  Hapax in Shakespeare.  Presage is 4x WS as verb, split 1 to 1 (excluding present case) as noun.  I think we should assume WSW was ok as a stressing of presager.										
319	syllables	Who plead for love, and look for recompense,	Who	plead	for	love,	and	look	for	re	com	pense,	
319	stress	Who plead for love, and look for recompense,	1	3	1	4	1	3	1	4	1	1	
319	juncture	Who plead for love, and look for recompense,	2	3	2	5	2	3	2	1	1	5	
319	comment	Who plead for love, and look for recompense,											
320	syllables	More than that tongue that more hath more express'd.	More	than	that	tongue	that	more	hath	more	ex	press'd.	
320	stress	More than that tongue that more hath more express'd.	2	1	1	3	1	2	1	2	1	4	
320	juncture	More than that tongue that more hath more express'd.	2	2	2	3	2	2	2	4	1	5	
320	comment	More than that tongue that more hath more express'd.											
321	syllables	O! learn to read what silent love hath writ:	O!	learn	to	read	what	si	lent	love	hath	writ:	
321	stress	O! learn to read what silent love hath writ:	1	3	1	3	1	3	1	3	1	4	
321	juncture	O! learn to read what silent love hath writ:	2	3	2	3	2	1	3	4	2	5	
321	comment	O! learn to read what silent love hath writ:											
322	syllables	To hear with eyes belongs to love's fine wit.	To	hear	with	eyes	be	longs	to	love's	fine	wit.	
322	stress	To hear with eyes belongs to love's fine wit.	1	3	1	3	1	3	1	3	2	4	
322	juncture	To hear with eyes belongs to love's fine wit.	2	3	2	4	1	3	2	4	3	5	
322	comment	To hear with eyes belongs to love's fine wit.											
323	syllables	Mine eye hath play'd the painter and hath stell'd,	Mine	eye	hath	play'd	the	pain	ter	and	hath	stell'd,	
323	stress	Mine eye hath play'd the painter and hath stell'd,	1	3	1	3	1	3	1	1	1	3	
323	juncture	Mine eye hath play'd the painter and hath stell'd,	3	4	2	3	2	1	4	2	2	5	
323	comment	Mine eye hath play'd the painter and hath stell'd,	poem initial										
324	syllables	Thy beauty's form in table of my heart;	Thy	beau	ty's	form	in	ta	ble	of	my	heart;	
324	stress	Thy beauty's form in table of my heart;	1	3	1	4	1	3	1	1	1	4	
324	juncture	Thy beauty's form in table of my heart;	2	1	4	4	2	1	3	2	2	5	
324	comment	Thy beauty's form in table of my heart;											
325	syllables	My body is the frame wherein 'tis held,	My	bo	dy	is	the	frame	where-	in	'tis	held,	
325	stress	My body is the frame wherein 'tis held,	1	3	1	1	1	3	1	2	1	4	
325	juncture	My body is the frame wherein 'tis held,	2	1	4	2	2	3	2	2	2	5	
325	comment	My body is the frame wherein 'tis held,											
326	syllables	And perspective it is best painter's art.	And	pers	pec	tive	it	is	best	pain	ter's	art.	
326	stress	And perspective it is best painter's art.	1	3	1	1	1	1	3	3	1	1	
326	juncture	And perspective it is best painter's art.	2	1	1	4	2	2	3	1	4	5	
326	comment	And perspective it is best painter's art.	perspective occurs 2x else in Shakespeare, both with apparent initial or final stress.  So this is not a metrical mystery.										
327	syllables	For through the painter must you see his skill,	For	through	the	pain	ter	must	you	see	his	skill,	
327	stress	For through the painter must you see his skill,	1	1	1	3	1	1	1	3	1	4	
327	juncture	For through the painter must you see his skill,	2	2	2	1	4	2	2	3	2	5	
327	comment	For through the painter must you see his skill,											
328	syllables	To find where your true image pictur'd lies,	To	find	where	your	TRUE	i	mage	pic	tur'd	lies,	
328	stress	To find where your true image pictur'd lies,	1	3	1	1	3	4	1	4	1	3	
328	juncture	To find where your true image pictur'd lies,	2	3	2	2	3	1	4	1	4	5	
328	comment	To find where your true image pictur'd lies,											
329	syllables	Which in my bosom's shop is hanging still,	Which	in	my	bo	som's	shop	is	han	ging	still,	
329	stress	Which in my bosom's shop is hanging still,	1	1	1	3	1	4	1	3	1	4	
329	juncture	Which in my bosom's shop is hanging still,	2	2	2	1	4	3	2	1	3	5	
329	comment	Which in my bosom's shop is hanging still,											
330	syllables	That hath his windows glazed with thine eyes.	That	hath	his	win	dows	gla	zed	with	thine	eyes.	
330	stress	That hath his windows glazed with thine eyes.	1	1	1	3	1	3	1	1	1	4	
330	juncture	That hath his windows glazed with thine eyes.	2	2	2	1	4	1	3	2	2	5	
330	comment	That hath his windows glazed with thine eyes.											
331	syllables	Now see what good turns eyes for eyes have done:	Now	see	what	good	turns	eyes	for	eyes	have	done:	
331	stress	Now see what good turns eyes for eyes have done:	3	3	1	3	4	3	1	3	1	4	
331	juncture	Now see what good turns eyes for eyes have done:	3	3	2	3	4	4	2	4	2	5	
331	comment	Now see what good turns eyes for eyes have done:											
332	syllables	Mine eyes have drawn thy shape, and thine for me	Mine	eyes	have	drawn	thy	shape,	and	thine	for	me	
332	stress	Mine eyes have drawn thy shape, and thine for me	1	3	1	3	1	4	1	3	1	4	
332	juncture	Mine eyes have drawn thy shape, and thine for me	3	3	2	3	2	5	2	4	2	3	
332	comment	Mine eyes have drawn thy shape, and thine for me											
333	syllables	Are windows to my breast, where-through the sun	Are	win	dows	to	my	breast,	where-	through	the	sun	
333	stress	Are windows to my breast, where-through the sun	1	3	1	1	1	4	1	2	1	4	
333	juncture	Are windows to my breast, where-through the sun	2	1	3	2	2	5	2	2	2	4	
333	comment	Are windows to my breast, where-through the sun											
334	syllables	Delights to peep, to gaze therein on thee;	De	lights	to	peep,	to	gaze	there-	in	on	thee;	
334	stress	Delights to peep, to gaze therein on thee;	1	3	1	4	1	3	1	2	1	4	
334	juncture	Delights to peep, to gaze therein on thee;	1	3	2	5	2	3	2	4	2	5	
334	comment	Delights to peep, to gaze therein on thee;											
335	syllables	Yet eyes this cunning want to grace their art,	Yet	eyes	this	cun	ning	want	to	grace	their	art,	
335	stress	Yet eyes this cunning want to grace their art,	1	3	1	4	1	3	1	3	1	1	
335	juncture	Yet eyes this cunning want to grace their art,	2	4	2	1	4	4	2	3	2	5	
335	comment	Yet eyes this cunning want to grace their art,											
336	syllables	They draw but what they see, know not the heart.	They	draw	but	what	they	see,	know	not	the	heart.	
336	stress	They draw but what they see, know not the heart.	1	3	1	1	1	4	3	1	1	4	
336	juncture	They draw but what they see, know not the heart.	2	3	2	2	2	5	2	3	2	5	
336	comment	They draw but what they see, know not the heart.											
337	syllables	Let those who are in favour with their stars	Let	those	who	are	in	fa	vour	with	their	stars	
337	stress	Let those who are in favour with their stars	3	2	1	1	1	3	1	1	1	4	
337	juncture	Let those who are in favour with their stars	3	2	2	2	2	1	4	2	2	4	
337	comment	Let those who are in favour with their stars	poem initial										
338	syllables	Of public honour and proud titles boast,	Of	pu	blic	ho	nour	and	proud	tit	les	boast,	
338	stress	Of public honour and proud titles boast,	1	3	1	4	1	1	3	4	1	4	
338	juncture	Of public honour and proud titles boast,	2	1	3	1	4	2	3	1	4	5	
338	comment	Of public honour and proud titles boast,											
339	syllables	Whilst I, whom fortune of such triumph bars	Whilst	I,	whom	for	tune	of	such	tri	umph	bars	
339	stress	Whilst I, whom fortune of such triumph bars	1	4	1	3	1	1	1	3	1	4	
339	juncture	Whilst I, whom fortune of such triumph bars	2	5	2	1	4	2	2	1	4	5	
339	comment	Whilst I, whom fortune of such triumph bars											
340	syllables	Unlook'd for joy in that I honour most.	Un	look'd	for	joy	in	that	I	ho	nour	most.	
340	stress	Unlook'd for joy in that I honour most.	1	3	1	4	1	2	1	3	1	4	
340	juncture	Unlook'd for joy in that I honour most.	1	3	3	4	2	2	2	1	3	5	
340	comment	Unlook'd for joy in that I honour most.											
341	syllables	Great princes' favourites their fair leaves spread	Great	princ	es'	fa	vou	rites	their	fair	leaves	spread	
341	stress	Great princes' favourites their fair leaves spread	2	3	1	4	1	1	1	3	3	4	
341	juncture	Great princes' favourites their fair leaves spread	3	1	4	1	1	4	2	3	4	4	
341	comment	Great princes' favourites their fair leaves spread											
342	syllables	But as the marigold at the sun's eye,	But	as	the	ma	ri	gold	at	the	sun's	eye,	
342	stress	But as the marigold at the sun's eye,	1	1	1	3	1	2	1	1	3	4	
342	juncture	But as the marigold at the sun's eye,	2	2	2	1	1	4	2	2	3	5	
342	comment	But as the marigold at the sun's eye,											
343	syllables	And in themselves their pride lies buried,	And	in	them-	selves	their	pride	lies	bu	ri	ed,	
343	stress	And in themselves their pride lies buried,	1	1	1	3	1	3	3	4	1	1	
343	juncture	And in themselves their pride lies buried,	2	2	2	4	2	4	3	1	1	5	
343	comment	And in themselves their pride lies buried,											
344	syllables	For at a frown they in their glory die.	For	at	a	frown	they	in	their	glo	ry	die.	
344	stress	For at a frown they in their glory die.	1	1	1	3	1	1	1	3	1	4	
344	juncture	For at a frown they in their glory die.	2	2	2	4	2	2	2	1	4	5	
344	comment	For at a frown they in their glory die.											
345	syllables	The painful warrior famoused for fight,	The	pain	ful	war	rior	fa	mou	sed	for	fight,	
345	stress	The painful warrior famoused for fight,	1	3	1	4	1	3	1	1	1	4	
345	juncture	The painful warrior famoused for fight,	2	1	3	1	4	1	1	3	2	5	
345	comment	The painful warrior famoused for fight,											
346	syllables	After a thousand victories once foil'd,	Af	ter	a	thou	sand	vic	to	ries	once	foil'd,	
346	stress	After a thousand victories once foil'd,	2	1	1	3	1	3	1	1	1	4	
346	juncture	After a thousand victories once foil'd,	1	2	2	1	3	1	1	4	2	5	
346	comment	After a thousand victories once foil'd,											
347	syllables	Is from the book of honour razed quite,	Is	from	the	book	of	ho	nour	ra	zed	quite,	
347	stress	Is from the book of honour razed quite,	1	1	1	3	1	4	1	3	1	4	
347	juncture	Is from the book of honour razed quite,	2	2	2	3	2	1	4	1	3	5	
347	comment	Is from the book of honour razed quite,											
348	syllables	And all the rest forgot for which he toil'd:	And	all	the	rest	for	got	for	which	he	toil'd:	
348	stress	And all the rest forgot for which he toil'd:	1	2	1	3	1	3	1	1	1	4	
348	juncture	And all the rest forgot for which he toil'd:	2	2	2	4	1	4	2	2	2	5	
348	comment	And all the rest forgot for which he toil'd:											
349	syllables	Then happy I, that love and am belov'd,	Then	hap	py	I,	that	love	and	am	be	lov'd,	
349	stress	Then happy I, that love and am belov'd,	1	3	1	2	1	3	1	1	1	4	
349	juncture	Then happy I, that love and am belov'd,	2	1	4	4	2	4	2	2	1	4	
349	comment	Then happy I, that love and am belov'd,											
350	syllables	Where I may not remove nor be remov'd.	Where	I	may	not	re	move	nor	be	re	mov'd.	
350	stress	Where I may not remove nor be remov'd.	1	1	1	1	1	3	1	1	1	4	
350	juncture	Where I may not remove nor be remov'd.	2	2	2	2	1	5	2	2	1	5	
350	comment	Where I may not remove nor be remov'd.											
351	syllables	Lord of my love, to whom in vassalage	Lord	of	my	love,	to	whom	in	vas	sa	lage	
351	stress	Lord of my love, to whom in vassalage	3	1	1	4	1	1	1	4	1	1	
351	juncture	Lord of my love, to whom in vassalage	3	2	2	5	2	2	2	1	1	3	
351	comment	Lord of my love, to whom in vassalage	poem initial										
352	syllables	Thy merit hath my duty strongly knit,	Thy	me	rit	hath	my	du	ty	stron	gly	knit,	
352	stress	Thy merit hath my duty strongly knit,	1	3	1	1	1	3	1	3	1	4	
352	juncture	Thy merit hath my duty strongly knit,	2	1	4	2	2	1	4	1	3	5	
352	comment	Thy merit hath my duty strongly knit,											
353	syllables	To thee I send this written embassage,	To	thee	I	send	this	writ	ten	em	bas	sage,	
353	stress	To thee I send this written embassage,	1	2	1	3	1	3	1	4	1	1	
353	juncture	To thee I send this written embassage,	2	4	2	3	2	1	3	1	1	4	
353	comment	To thee I send this written embassage,											
354	syllables	To witness duty, not to show my wit:	To	wit	ness	du	ty,	not	to	show	my	wit:	
354	stress	To witness duty, not to show my wit:	1	3	1	4	1	2	1	3	1	4	
354	juncture	To witness duty, not to show my wit:	2	1	3	1	5	2	2	3	2	5	
354	comment	To witness duty, not to show my wit:											
355	syllables	Duty so great, which wit so poor as mine	Du	ty	so	great,	which	wit	so	poor	as	mine	
355	stress	Duty so great, which wit so poor as mine	3	1	1	4	1	3	1	3	1	1	
355	juncture	Duty so great, which wit so poor as mine	1	3	2	5	2	3	2	3	2	2	
355	comment	Duty so great, which wit so poor as mine											
356	syllables	May make seem bare, in wanting words to show it,	May	make	seem	bare,	in	wan	ting	words	to	show	it,
356	stress	May make seem bare, in wanting words to show it,	1	3	2	4	1	3	1	3	1	4	1
356	juncture	May make seem bare, in wanting words to show it,	3	3	3	5	2	1	3	3	2	2	5
356	comment	May make seem bare, in wanting words to show it,											
357	syllables	But that I hope some good conceit of thine	But	that	I	hope	some	good	con	ceit	of	thine	
357	stress	But that I hope some good conceit of thine	1	1	1	3	1	3	1	4	1	2	
357	juncture	But that I hope some good conceit of thine	2	2	2	3	2	3	1	3	2	4	
357	comment	But that I hope some good conceit of thine											
358	syllables	In thy soul's thought, all naked, will bestow it:	In	thy	soul's	thought,	all	na	ked,	will	bes	tow	it:
358	stress	In thy soul's thought, all naked, will bestow it:	1	1	3	4	1	4	1	1	1	4	1
358	juncture	In thy soul's thought, all naked, will bestow it:	2	2	4	5	2	1	5	2	1	2	5
358	comment	In thy soul's thought, all naked, will bestow it:											
359	syllables	Till whatsoever star that guides my moving,	Till	what-	so-	e	ver	star	that	guides	my	mo	ving,
359	stress	Till whatsoever star that guides my moving,	1	3	1	2	1	4	1	3	1	4	1
359	juncture	Till whatsoever star that guides my moving,	2	2	2	1	3	3	2	3	2	1	5
359	comment	Till whatsoever star that guides my moving,	RR										
360	syllables	Points on me graciously with fair aspect,	Points	on	me	gra	cious	ly	with	fair	as	pect,	
360	stress	Points on me graciously with fair aspect,	3	1	1	4	1	1	1	3	1	4	
360	juncture	Points on me graciously with fair aspect,	3	2	4	1	1	4	2	3	1	5	
360	comment	Points on me graciously with fair aspect,	aspect is 26 WS in Shakespeare, 2 prose.  Clearly, it had final stress.										
361	syllables	And puts apparel on my tatter'd loving,	And	puts	ap	pa	rel	on	my	tat	ter'd	lo	ving,
361	stress	And puts apparel on my tatter'd loving,	1	3	1	4	1	1	1	3	1	4	1
361	juncture	And puts apparel on my tatter'd loving,	2	3	1	1	4	2	2	1	3	1	5
361	comment	And puts apparel on my tatter'd loving,											
362	syllables	To show me worthy of thy sweet respect:	To	show	me	wor	thy	of	thy	sweet	res	pect:	
362	stress	To show me worthy of thy sweet respect:	1	3	1	3	1	1	1	3	1	4	
362	juncture	To show me worthy of thy sweet respect:	2	2	3	1	3	2	2	3	1	5	
362	comment	To show me worthy of thy sweet respect:											
363	syllables	Then may I dare to boast how I do love thee;	Then	may	I	dare	to	boast	how	I	do	love	thee;
363	stress	Then may I dare to boast how I do love thee;	1	1	1	3	1	3	1	1	1	4	1
363	juncture	Then may I dare to boast how I do love thee;	2	2	2	3	2	3	2	2	2	2	5
363	comment	Then may I dare to boast how I do love thee;											
364	syllables	Till then, not show my head where thou mayst prove me.	Till	then,	not	show	my	head	where	thou	mayst	prove	me.
364	stress	Till then, not show my head where thou mayst prove me.	1	1	1	3	1	4	1	1	1	4	1
364	juncture	Till then, not show my head where thou mayst prove me.	2	5	2	3	2	4	2	2	2	2	5
364	comment	Till then, not show my head where thou mayst prove me.											
365	syllables	Weary with toil, I haste me to my bed,	Wea	ry	with	toil,	I	haste	me	to	my	bed,	
365	stress	Weary with toil, I haste me to my bed,	3	1	1	4	1	3	1	1	1	4	
365	juncture	Weary with toil, I haste me to my bed,	1	3	2	5	2	2	3	2	2	5	
365	comment	Weary with toil, I haste me to my bed,	poem initial										
366	syllables	The dear respose for limbs with travel tir'd;	The	dear	res	pose	for	limbs	with	tra	vel	tir'd;	
366	stress	The dear respose for limbs with travel tir'd;	1	3	1	3	1	3	1	3	1	4	
366	juncture	The dear respose for limbs with travel tir'd;	2	3	1	3	2	3	2	1	3	5	
366	comment	The dear respose for limbs with travel tir'd;											
367	syllables	But then begins a journey in my head	But	then	be	gins	a	jour	ney	in	my	head	
367	stress	But then begins a journey in my head	1	2	1	3	1	3	1	1	1	4	
367	juncture	But then begins a journey in my head	2	2	1	3	2	1	3	2	2	4	
367	comment	But then begins a journey in my head											
368	syllables	To work my mind, when body's work's expired:	To	work	my	mind,	when	bo	dy's	work's	ex	pired:	
368	stress	To work my mind, when body's work's expired:	1	3	1	4	1	3	1	3	1	4	
368	juncture	To work my mind, when body's work's expired:	2	3	2	5	2	1	4	4	1	5	
368	comment	To work my mind, when body's work's expired:											
369	syllables	For then my thoughts% from far where I abide%	For	then	my	thoughts%	from	far	where	I	a	bide%	
369	stress	For then my thoughts% from far where I abide%	1	1	1	4	1	3	1	1	1	4	
369	juncture	For then my thoughts% from far where I abide%	2	2	2	5	2	3	2	2	1	5	
369	comment	For then my thoughts% from far where I abide%											
370	syllables	Intend a zealous pilgrimage to thee,	In	tend	a	zea	lous	pil	gri	mage	to	thee,	
370	stress	Intend a zealous pilgrimage to thee,	1	3	1	3	1	3	1	1	1	4	
370	juncture	Intend a zealous pilgrimage to thee,	1	3	2	1	3	1	1	4	2	5	
370	comment	Intend a zealous pilgrimage to thee,											
371	syllables	And keep my drooping eyelids open wide,	And	keep	my	droo	ping	eye-	lids	o	pen	wide,	
371	stress	And keep my drooping eyelids open wide,	1	3	1	3	1	4	2	3	1	4	
371	juncture	And keep my drooping eyelids open wide,	2	3	2	1	3	2	4	1	3	5	
371	comment	And keep my drooping eyelids open wide,											
372	syllables	Looking on darkness which the blind do see:	Loo	king	on	dark	ness	which	the	blind	do	see:	
372	stress	Looking on darkness which the blind do see:	3	1	1	4	1	1	1	3	1	4	
372	juncture	Looking on darkness which the blind do see:	1	3	2	1	3	2	2	4	2	5	
372	comment	Looking on darkness which the blind do see:											
373	syllables	Save that my soul's imaginary sight	Save	that	my	soul's	i	ma	gi	na	ry	sight	
373	stress	Save that my soul's imaginary sight	3	1	1	3	1	3	1	2	1	4	
373	juncture	Save that my soul's imaginary sight	3	2	2	4	1	1	1	1	3	4	
373	comment	Save that my soul's imaginary sight											
374	syllables	Presents thy shadow to my sightless view,	Pre	sents	thy	sha	dow	to	my	sight	less	view,	
374	stress	Presents thy shadow to my sightless view,	3	1	1	4	1	1	1	3	1	4	
374	juncture	Presents thy shadow to my sightless view,	1	3	2	1	4	2	2	1	3	5	
374	comment	Presents thy shadow to my sightless view,											
375	syllables	Which, like a jewel( hung in ghastly night,	Which,	like	a	je	wel(	hung	in	ghast	ly	night,	
375	stress	Which, like a jewel( hung in ghastly night,	1	1	1	4	1	3	1	3	1	4	
375	juncture	Which, like a jewel( hung in ghastly night,	2	2	2	1	5	3	2	1	3	5	
375	comment	Which, like a jewel( hung in ghastly night,											
376	syllables	Makes black night beauteous, and her old face new.	Makes	black	night	beau	teous,	and	her	old	face	new.	
376	stress	Makes black night beauteous, and her old face new.	3	3	4	4	1	1	1	3	4	4	
376	juncture	Makes black night beauteous, and her old face new.	3	3	4	1	5	2	2	3	4	5	
376	comment	Makes black night beauteous, and her old face new.											
377	syllables	Lo! thus, by day my limbs, by night my mind,	Lo!	thus,	by	day	my	limbs,	by	night	my	mind,	
377	stress	Lo! thus, by day my limbs, by night my mind,	4	1	1	3	1	4	1	3	1	4	
377	juncture	Lo! thus, by day my limbs, by night my mind,	2	3	2	4	2	5	2	3	2	5	
377	comment	Lo! thus, by day my limbs, by night my mind,											
378	syllables	For thee, and for myself, no quiet find.	For	thee,	and	for	my-	self,	no	qui	et	find.	
378	stress	For thee, and for myself, no quiet find.	1	4	1	1	1	4	1	4	1	3	
378	juncture	For thee, and for myself, no quiet find.	2	5	2	2	2	5	2	1	4	5	
378	comment	For thee, and for myself, no quiet find.											
379	syllables	How can I then return in happy plight,	How	can	I	then	re	turn	in	hap	py	plight,	
379	stress	How can I then return in happy plight,	2	1	1	2	1	3	1	3	1	4	
379	juncture	How can I then return in happy plight,	2	2	2	2	1	3	2	1	3	4	
379	comment	How can I then return in happy plight,	poem initial										
380	syllables	That am debarre'd the benefit of rest?	That	am	de	barre'd	the	be	ne	fit	of	rest?	
380	stress	That am debarre'd the benefit of rest?	1	1	1	3	1	3	1	1	1	4	
380	juncture	That am debarre'd the benefit of rest?	2	2	1	3	2	1	1	3	2	5	
380	comment	That am debarre'd the benefit of rest?											
381	syllables	When day's oppression is not eas'd by night,	When	day's	op	pres	sion	is	not	eas'd	by	night,	
381	stress	When day's oppression is not eas'd by night,	1	3	1	4	1	1	1	3	1	4	
381	juncture	When day's oppression is not eas'd by night,	2	4	1	1	4	2	2	3	2	5	
381	comment	When day's oppression is not eas'd by night,											
382	syllables	But day by night and night by day oppress'd,	But	day	by	night	and	night	by	day	op	press'd,	
382	stress	But day by night and night by day oppress'd,	1	3	1	4	1	3	1	4	1	4	
382	juncture	But day by night and night by day oppress'd,	2	4	2	4	2	4	2	4	1	5	
382	comment	But day by night and night by day oppress'd,											
383	syllables	And each, though enemies to either's reign,	And	each,	though	e	ne	mies	to	ei	ther's	reign,	
383	stress	And each, though enemies to either's reign,	1	4	1	3	1	1	1	3	1	4	
383	juncture	And each, though enemies to either's reign,	2	5	2	1	1	3	2	1	4	5	
383	comment	And each, though enemies to either's reign,											
384	syllables	Do in consent shake hands to torture me,	Do	in	con	sent	shake	hands	to	tor	ture	me,	
384	stress	Do in consent shake hands to torture me,	1	1	1	3	3	4	1	4	1	1	
384	juncture	Do in consent shake hands to torture me,	2	2	1	4	3	4	2	1	2	5	
384	comment	Do in consent shake hands to torture me,											
385	syllables	The one by toil, the other to complain	The	one	by	toil,	the	o	ther	to	com	plain	
385	stress	The one by toil, the other to complain	1	3	1	4	1	3	1	1	1	4	
385	juncture	The one by toil, the other to complain	2	4	2	5	2	1	4	2	1	3	
385	comment	The one by toil, the other to complain											
386	syllables	How far I toil, still farther off from thee.	How	far	I	toil,	still	far	ther	off	from	thee.	
386	stress	How far I toil, still farther off from thee.	1	3	1	4	3	4	1	3	1	4	
386	juncture	How far I toil, still farther off from thee.	2	3	2	5	3	1	3	4	2	5	
386	comment	How far I toil, still farther off from thee.											
387	syllables	I tell the day, to please him thou art bright,	I	tell	the	day,	to	please	him	thou	art	bright,	
387	stress	I tell the day, to please him thou art bright,	1	3	1	4	1	3	1	1	1	4	
387	juncture	I tell the day, to please him thou art bright,	2	3	2	4	2	2	4	2	2	5	
387	comment	I tell the day, to please him thou art bright,											
388	syllables	And dost him grace when clouds do blot the heaven:	And	dost	him	grace	when	clouds	do	blot	the	hea ven:	
388	stress	And dost him grace when clouds do blot the heaven:	1	1	1	3	1	3	1	3	1	4	
388	juncture	And dost him grace when clouds do blot the heaven:	2	2	2	3	2	4	2	3	2	5	
388	comment	And dost him grace when clouds do blot the heaven:											
389	syllables	So flatter I the swart-complexion'd night,	So	flat	ter	I	the	swart-	com	ple	xion'd	night,	
389	stress	So flatter I the swart-complexion'd night,	1	3	1	1	1	3	1	2	1	4	
389	juncture	So flatter I the swart-complexion'd night,	2	1	2	3	2	2	1	1	4	5	
389	comment	So flatter I the swart-complexion'd night,	RR										
390	syllables	When sparkling stars twire not thou gild'st the even.	When	spark	ling	stars	twire	not	thou	gild'st	the	e ven.	
390	stress	When sparkling stars twire not thou gild'st the even.	1	3	1	4	3	1	1	3	1	4	
390	juncture	When sparkling stars twire not thou gild'st the even.	2	1	3	4	2	4	2	3	2	5	
390	comment	When sparkling stars twire not thou gild'st the even.											
